Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30220.59452,31650.76054,24487.86356,29342.10086,
Africa Eastern and Southern,AFE,1643.605569,1792.907505,1759.182395,1730.394686,1719.183721,1538.552268,1443.692371,1628.586788,1564.73434,1512.270553,1363.540741,1549.77273,
Afghanistan,AFG,554.5952002,621.9123109,663.1410528,651.9878619,628.1468039,592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142,
Africa Western and Central,AFW,1675.739572,1856.687669,1953.407033,2149.295219,2243.271464,1876.623483,1645.023767,1585.91193,1731.311792,1749.303317,1683.436391,1757.030626,
Angola,AGO,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757,
Albania,ALB,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012,
Andorra,AND,48238.4661,51429.19192,44904.58004,44750.43568,45682.24623,38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727,
Arab World,ARB,6385.356001,6826.51552,7327.268826,7307.373017,7276.428999,6245.787785,6062.681557,6132.428354,6474.29534,6384.066321,5545.455246,6271.319001,
United Arab Emirates,ARE,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,
Argentina,ARG,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202,
Armenia,ARM,3143.029202,3462.681611,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471,
American Samoa,ASM,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957,
Australia,AUS,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916,
Austria,AUT,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,
Azerbaijan,AZE,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975,
Burundi,BDI,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762,
Belgium,BEL,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435,
Benin,BEN,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995,
Burkina Faso,BFA,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558,
Bangladesh,BGD,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488,
